,CUSTOMER_ID,ANCHOR_CUTOFF,NEXT_ANCHOR_CUTOFF,has_order,window_adds,window_removes,window_purchases,shipping_time,window_total_profit,window_total_volume,window_num_unique_materials,total_order_quantity,sales_office_desc,mode_distribution_mode,mode_cold_drink_channel,mode_sub_trade_channel,mode_most_frequent_event,mode_device_category,mode_device_brand,mode_device_os,mode_pack_type,mode_trade_mark,mode_flavour,mode_bev_cat,mode_pack_size_oz,scheduled_frequency
10853,501057714,2024-06-07 14:00:00,2024-07-05 14:00:00,1,0,0,0,24hrs,0.0,0.0,1,1.0,,,,,,,,,0,0,0,0,0.0,28
10854,501711617,2024-08-28 15:30:00,2024-09-04 15:30:00,0,0,0,0,24hrs,188.96,8.0,4,,,,,,,,,,Bag-In-Box,Fizz Factory,Vanilla Latte,CORE SPARKLING,320.0,7
10855,501440304,2025-03-10 11:00:00,2025-04-07 11:00:00,0,0,0,0,24hrs,297.78,9.0,3,,,,,,,,,,Bag-In-Box,Fizz Factory,Tangerine,OTHER NONALCOHOLIC BEVERAGES,0.0,28
10856,501491297,2025-04-23 11:30:00,2025-05-21 11:30:00,0,0,0,0,24hrs,600.53,59.0,6,,,,,,,,,,Glass Bottle  - Contour,Oliver Originals,Vanilla Latte,CORE SPARKLING,0.0,28
10857,501153426,2024-09-13 16:30:00,2024-09-20 16:30:00,1,0,0,0,48hrs,1453.8600000000001,48.0,9,23.0,,,,,,,,,Bag-In-Box,Oliver Originals,Vanilla Latte,CORE SPARKLING,640.0,7
10858,500423210,2025-04-04 16:30:00,2025-04-11 16:30:00,0,0,0,0,48hrs,6680.269999999998,450.0,24,,,,,,,,,,Aluminum Can,Billy's Lemonade,Vanilla Latte,CORE SPARKLING,12.0,7
10859,501481051,2025-03-24 11:00:00,2025-04-21 11:00:00,1,2024,1056,88,24hrs,0.0,0.0,1,13.0,"Boise, ID",Sideload,Restaurant,Pizza Fast Food,view_site_search,desktop,Google,Windows,0,0,0,0,0.0,28
10860,501594676,2025-02-07 14:00:00,2025-03-07 14:00:00,0,0,0,0,24hrs,75.52,8.0,2,,,,,,,,,,Plastic Bottle - Other,Blueberry Hill,Vanilla Raspberry,PACKAGED WATER (PLAIN & ENRICHED),12.0,28
10861,500849829,2025-03-14 16:00:00,2025-04-11 16:00:00,0,0,0,0,24hrs,51.15,2.0,1,,,,,,,,,,Bag-In-Box,Fizz Factory,Ginger Snap,TEA,320.0,28
10862,501643790,2024-11-19 10:00:00,2024-11-26 10:00:00,0,0,0,0,24hrs,52.9,2.0,1,,,,,,,,,,CO2 Tank,Fizz Factory,Tangerine,OTHER NONALCOHOLIC BEVERAGES,0.0,7
10863,501509976,2025-02-20 16:30:00,2025-03-20 16:30:00,0,0,0,0,48hrs,0.0,0.0,1,,,,,,,,,,0,0,0,0,0.0,28
10864,500468921,2025-01-23 11:00:00,2025-01-30 11:00:00,0,0,0,0,24hrs,2679.3299999999995,372.0,35,,,,,,,,,,Plastic Bottle - Other,Fizz Factory,Vanilla Raspberry,CORE SPARKLING,20.0,7
10865,600058951,2024-06-17 10:00:00,2024-06-24 10:00:00,1,0,0,0,24hrs,12383.319999999998,568.0,18,336.0,,,,,,,,,Plastic Bottle - Other,Bobby's Bottles,Vanilla Raspberry,CORE SPARKLING,20.0,7
10866,501728829,2025-02-07 16:30:00,2025-02-14 16:30:00,0,0,0,0,48hrs,0.0,0.0,1,,,,,,,,,,0,0,0,0,0.0,7
10867,501456267,2025-04-28 15:00:00,2025-05-26 15:00:00,0,0,0,0,24hrs,0.0,0.0,1,,,,,,,,,,0,0,0,0,0.0,28
