,CUSTOMER_ID,ANCHOR_CUTOFF,NEXT_ANCHOR_CUTOFF,SALES_OFFICE_DESCRIPTION,DISTRIBUTION_MODE_DESCRIPTION,COLD_DRINK_CHANNEL_DESCRIPTION,CUSTOMER_SUB_TRADE_CHANNEL_DESCRIPTION,DEVICE_CATEGORY,DEVICE_MOBILE_BRAND_NAME,DEVICE_OPERATING_SYSTEM,ORDER_QUANTITY,ORDER_TYPE,PLANT_ID,WINDOW_FREQUENCY,SHIPPING_CONDITION_TIME,total_adds,total_removes,has_order,is_abandoned,total_profit,total_volume,PACK_TYPE_DESC,TRADE_MARK_DESC,FLAVOUR_DESC,BEV_CAT_DESC,PACK_SIZE_OZ
10205,501678525,2025-04-04 14:00:00,2025-04-11 14:00:00,"Bend, OR",OFS,Restaurant,Food Truck,mobile,Apple,iOS,4.0,SALES REP,G222,7,24hrs,72.0,0.0,1,0,1305.6100000000001,96.0,Glass Bottle  - Contour,Oliver Originals,Vanilla Latte,CORE SPARKLING,0.0
10206,501502820,2024-06-19 11:00:00,2024-07-17 11:00:00,,,,,,,,,,G291,28,24hrs,0.0,0.0,0,0,614.7699999999999,50.0,Aluminum Can,Oliver Originals,Vanilla Latte,CORE SPARKLING,12.0
10207,501757987,2024-12-20 11:00:00,2024-12-27 11:00:00,"Eugene, OR",Sideload,Distributor,Wholesaler,desktop,Google,Windows,,,G223,7,24hrs,0.0,0.0,0,0,390.5,40.0,Aluminum Can,Fizz Factory,Vanilla Latte,ENERGY DRINKS,16.0
10208,600056095,2024-11-22 18:00:00,2024-11-29 18:00:00,,,,,,,,6.0,CALL CENTER,G111,7,72hrs,0.0,0.0,1,0,4842.890000000003,732.0,Bag-In-Box,Oliver Originals,Vanilla Latte,CORE SPARKLING,640.0
10209,501520757,2025-04-22 11:30:00,2025-05-20 11:30:00,,,,,,,,,,G292,28,24hrs,0.0,0.0,0,0,46.94,2.0,Bag-In-Box,Oliver Originals,Vanilla Latte,CORE SPARKLING,320.0
10210,500295949,2024-11-18 18:00:00,2024-11-25 18:00:00,,,,,,,,,,G111,7,72hrs,0.0,0.0,0,0,9425.96,579.0,Aluminum Can,Oliver Originals,Vanilla Latte,CORE SPARKLING,16.0
10211,501677475,2025-01-23 11:00:00,2025-01-30 11:00:00,,,,,,,,,,G265,7,24hrs,0.0,0.0,0,0,1026.45,43.0,Bag-In-Box,Oliver Originals,Vanilla Latte,CORE SPARKLING,320.0
10212,600063540,2025-02-11 15:00:00,2025-03-11 15:00:00,"Denver, CO",OFS,Hotel,Motel,desktop,Microsoft,Windows,12.0,MYCOKE360,G236,28,24hrs,21756.0,5880.0,1,0,5091.310000000001,382.0,Plastic Bottle - Other,Oliver Originals,Vanilla Latte,CORE SPARKLING,20.0
10213,501512039,2025-03-10 16:00:00,2025-04-07 16:00:00,"Arlington, WA",OFS,Restaurant,Dining,mobile,Apple,iOS,1.0,SALES REP,G294,28,24hrs,0.0,0.0,1,0,178.92000000000002,6.0,CO2 Tank,Fizz Factory,Tangerine,OTHER NONALCOHOLIC BEVERAGES,0.0
10214,501466205,2025-01-10 14:00:00,2025-02-07 14:00:00,,,,,,,,8.0,MYCOKE360,G293,28,24hrs,0.0,0.0,1,0,3159.480000000001,353.0,Aluminum Can,Oliver Originals,Vanilla Latte,CORE SPARKLING,0.0
